"K008552"	7.499042732
"K003229"	7.499042673
"K015594"	7.499042501
"A000446"	1.166554477
"A004042"	1.166554364
"A004450"	1.166554359
"A005311"	1.166554389
"A004382"	1.166554411
"A005824"	1.166554423
"A014853"	1.166554294
"A007848"	1.166554392
"A011590"	1.166554475
"A014252"	1.166554421
"A006773"	1.166554386
"A009522"	1.166554424
"A010043"	1.166554387
"A002125"	1.166554324
"K003270"	7.49904277
"K010861"	7.499042769
"K014981"	7.49904376
"A013488"	1.166554455
"A004384"	1.166554422
"K009182"	7.49904326
"K005225"	276546.0345
"A001057"	2.142356651
"A013410"	2.142356353
"A007075"	1693370500
"A013274"	3210998513
"A005866"	0.4666222598
"A004066"	0.466622262
"A015842"	617831573.4
"A013405"	0.4666222954
"A000746"	0.4666222587
"A013132"	0.466622251
"A002849"	0.4284775032
"K009520"	-8.806182669e-10
"A001017"	0.4666222724
"A002065"	0.4666222591
"A014617"	0.46662226
"A007505"	0.4666222571
"A008906"	0.4666222668
"A016206"	5131911784
"K010975"	1.062825719e-09
"A000444"	1.499830174
"A011159"	0.4666222703
"A007025"	337386406.9
"A001097"	-1780035088
"A007169"	0.4666222685
"A000528"	0.4666222759
"A006338"	0.4666222653
"A010679"	0.4666222571
"A010958"	0.466622268
"A006392"	0.428477459
"K011935"	2.906624717e-10
"K002451"	0.1999737005
"K003786"	0.199973706
"K002509"	0.1999737067
"A004714"	0.4666222624
"A008146"	0.4666222596
"A001628"	1.499830242
"A008896"	0.4666222546
"A008108"	2.386268368e-10
"A012292"	1.499830365
"A008264"	1.499830223
"A014339"	-266280413.7
"A011053"	1.499830106
"A011479"	1.499830291
"A007195"	1.499830226
"A002813"	1.499830319
"A011343"	2.999649651
"A010131"	2.999649895
"A000540"	2.999649767
"A002615"	2.999649706
"A003819"	1.963159732e-10
"K000038"	4.666192415
"K013859"	6.954545076e-11
"K007991"	4.666192045
"K011745"	11.66535409
"K009350"	0.1999737125
"K009858"	0.1999736961
"K013640"	11.66535633
"K005549"	3.999653402
"A001623"	8.553700407e-09
"K013487"	0.1999736987
"A000565"	0.4666222634
"A007998"	-3.336305886e-09
"A007876"	3.528928569e-09
"A007666"	-2.616134907e-09
"A005660"	-64611906.98
"G010864"	0.7999329518
"A002653"	-2.640623898e-10
"A008825"	1593000115
"A003563"	-775798859.2
"A001223"	-215792850.7
"A008643"	-124259661.6
"A006539"	-7810168492
"A001154"	223122922
"A014916"	-1.045654124e+10
"A001062"	-1357234970
"K000957"	4.999255941
"A013988"	-425361355.1
"A014726"	9.032750446e-10
"A012229"	2.999649399
"A008861"	1.766550768e-09
"A008048"	7.004956759e-09
"A004242"	0.7989676752
"A006413"	-388979924.9
"A011978"	3.834747264e-10
"A014310"	812947837.5
"A008000"	0.4666222833
"O012362"	0.4666222621
"A008078"	0.4666222842
"A010278"	184423751.3
"A013518"	0.4666222819
"K005062"	1.999830174
"K013135"	0.1333115536
"K013396"	0.4666222447
"A003343"	0.466622276
"G004489"	5.159089082e-09
"G000891"	2.900486448e-09
"G002468"	1.490688319e-08
"G013441"	8.23094246e-09
"K002646"	0.2999668887
"G007082"	4.347021662e-09
"G015011"	1.746002553e-09
"K015506"	4.499658236
"K013127"	0.4666222525
"K014224"	0.7999329572
"A014272"	2.999649991
"K001443"	0.7999329329
"A013254"	-764271528.2
"A003570"	3.442050017e-10
"K009045"	-5.333646664e-09
"K014143"	0.4666222661
"K009454"	0.0856957327
"K003020"	0.1999736996
"K003879"	-6.851938329e-09
"A013509"	7.007550275
"K009575"	4.999255608
"A005480"	7.70716968e-09
"O008855"	0.4666222668
"K013182"	0.4666222704
"A014253"	-3735715475
"G002006"	9.479284837e-09
"A015371"	0.9542581161
"G002339"	2.381187756e-09
"G004630"	2.084582345e-09
"A010695"	0.4613832186
"A013029"	1.799865041
"A012074"	0.7290494744
"A003900"	0.1759793557
"G012685"	3.367088713e-10
"A005456"	1.49983015
"K011618"	2.383050689
"A006980"	1.499830232
"A008178"	-0.5497497296
"A009947"	163888557.8
"A006313"	1.499830212
"A005797"	-0.09527593529
"G015488"	-2.516588654e-11
"G004038"	-2.449170642e-09
"G011524"	-3.188866997e-09
"G006551"	3.83580127e-09
